hotel_id,hotel_name,district,overall_safety,women_safety,family_safety,night_safety,harassment_reports,theft_reports,last_updated
H00692,Jetwing Blue Polonnaruwa,Polonnaruwa,4.77,4.19,4.4,4.85,7,0,2024-11-23
H00693,Villa Rosa Trincomalee,Trincomalee,3.49,2.76,3.97,2.41,9,9,2024-09-16
H00694,Cinnamon Grand Gampaha,Gampaha,3.56,4.47,3.2,4.05,14,0,2024-04-01
H00695,Lighthouse Hotel Badulla,Badulla,1.99,2.04,2.13,0.96,7,8,2024-09-27
H00696,Araliya Beach Anuradhapura,Anuradhapura,2.59,1.94,1.86,2.07,0,5,2024-07-14
H00697,Jetwing Blue Badulla,Badulla,2.61,1.64,2.62,1.82,3,6,2024-03-30
H00698,The Kandy House Anuradhapura,Anuradhapura,1.58,1.51,0.83,1.97,12,5,2024-09-29
H00699,Kings Pavilion Nuwara_Eliya,Nuwara_Eliya,4.53,4.95,5.01,4.2,13,8,2024-07-22
H00700,Amangalla Trincomalee,Trincomalee,3.05,3.22,2.47,2.94,8,0,2024-04-15
H00701,Cinnamon Grand Kegalle,Kegalle,2.03,2.38,2.03,1.63,12,5,2024-12-03
H00702,Villa Rosa Monaragala,Monaragala,3.17,4.16,2.62,3.18,12,9,2024-09-16
H00703,Lighthouse Hotel Batticaloa,Batticaloa,2.81,3.65,3.07,2.68,15,8,2024-06-21
H00704,Cinnamon Grand Trincomalee,Trincomalee,4.7,4.58,4.38,4.1,10,2,2024-08-31
H00705,Araliya Beach Puttalam,Puttalam,2.91,2.32,2.67,2.94,10,2,2024-11-19
H00706,Kings Pavilion Colombo,Colombo,4.63,4.63,5.39,4.08,13,4,2024-01-02
H00707,Villa Rosa Negombo,Negombo,3.98,4.78,4.08,4.1,14,8,2024-08-25
H00708,Amangalla Mannar,Mannar,3.6,2.92,3.73,3.44,12,5,2024-05-16
H00709,The Kandy House Polonnaruwa,Polonnaruwa,2.72,2.49,1.98,2.86,4,2,2024-01-05
H00710,Araliya Beach Trincomalee,Trincomalee,2.16,2.33,2.22,1.96,14,9,2024-10-22
H00711,Tintagel Colombo Sigiriya,Sigiriya,2.28,1.45,2.02,1.72,11,9,2024-02-17
H00712,Villa Rosa Gampaha,Gampaha,2.43,1.89,2.82,2.44,14,1,2024-12-15
H00713,Araliya Beach Nuwara_Eliya,Nuwara_Eliya,2.7,2.09,2.11,2.79,14,10,2024-09-13
H00714,Jetwing Blue Ratnapura,Ratnapura,2.54,2.11,2.92,2.18,14,1,2024-09-16
H00715,Lighthouse Hotel Puttalam,Puttalam,3.12,2.91,3.14,2.15,15,2,2024-10-06
H00716,The Kandy House Mannar,Mannar,4.83,5.82,4.54,4.21,4,4,2024-03-10
H00717,98 Acres Resort Kilinochchi,Kilinochchi,2.21,1.64,2.74,1.16,2,4,2024-03-02
H00718,Villa Rosa Batticaloa,Batticaloa,2.59,1.66,2.46,2.26,4,6,2024-02-29
H00719,Amangalla Kegalle,Kegalle,3.96,4.22,4.65,3.61,14,6,2024-05-28
H00720,Cinnamon Grand Trincomalee,Trincomalee,3.88,2.92,3.45,2.74,14,9,2024-05-01
H00721,Tintagel Colombo Hambantota,Hambantota,3.2,3.23,3.17,3.1,3,6,2024-07-09
H00722,Araliya Beach Puttalam,Puttalam,2.45,1.75,2.31,2.16,12,1,2024-05-17
H00723,98 Acres Resort Negombo,Negombo,3.4,4.19,3.43,3.24,11,2,2024-01-29
H00724,Cinnamon Grand Mannar,Mannar,4.02,3.93,4.24,4.33,5,6,2024-01-05
H00725,Villa Rosa Ampara,Ampara,2.12,1.37,1.66,1.02,3,9,2024-09-28
H00726,Jetwing Blue Mannar,Mannar,1.59,1.18,0.85,0.88,10,10,2024-10-13
H00727,Lighthouse Hotel Kurunegala,Kurunegala,1.66,1.01,1.46,0.9,3,6,2024-02-03
H00728,Amangalla Colombo,Colombo,2.0,1.99,2.09,1.62,2,6,2024-10-21
H00729,98 Acres Resort Kegalle,Kegalle,3.37,3.04,3.93,2.51,12,8,2024-10-30
H00730,Tintagel Colombo Ella,Ella,4.86,3.91,4.45,3.76,12,0,2024-02-17
H00731,Villa Rosa Puttalam,Puttalam,4.86,4.54,4.34,3.89,15,7,2024-07-26
H00732,Amangalla Negombo,Negombo,3.19,2.67,2.46,2.45,5,5,2024-11-21
H00733,Kings Pavilion Colombo,Colombo,3.87,3.56,3.4,3.27,15,6,2024-11-19
H00734,Amangalla Kalutara,Kalutara,4.24,4.03,3.77,4.05,7,10,2024-07-27
H00735,Cinnamon Grand Kandy,Kandy,3.52,3.49,4.06,2.71,10,9,2024-06-06
H00736,Araliya Beach Sigiriya,Sigiriya,4.85,4.88,4.53,3.79,0,5,2024-05-21
H00737,Araliya Beach Galle,Galle,3.1,2.74,3.52,2.05,6,5,2024-09-29
H00738,Lighthouse Hotel Negombo,Negombo,2.41,2.13,1.72,1.57,14,6,2024-08-14
H00739,Villa Rosa Mannar,Mannar,3.34,2.67,3.11,2.19,15,3,2024-04-16
H00740,Tintagel Colombo Galle,Galle,4.95,5.81,4.91,4.77,15,4,2024-12-13
H00741,Amangalla Negombo,Negombo,3.1,2.54,2.83,2.47,6,6,2024-09-15
H00742,Cinnamon Grand Kandy,Kandy,4.23,4.47,4.06,4.62,7,3,2024-02-28
H00743,The Kandy House Ampara,Ampara,3.38,3.93,3.34,3.32,12,9,2024-05-30
H00744,Araliya Beach Colombo,Colombo,4.51,4.18,4.78,3.92,8,1,2024-02-24
H00745,Lighthouse Hotel Kurunegala,Kurunegala,1.51,1.37,1.77,1.56,0,3,2024-12-24
H00746,Jetwing Blue Gampaha,Gampaha,1.56,2.12,0.81,1.68,1,1,2024-02-01
H00747,Cinnamon Grand Mannar,Mannar,2.77,2.36,2.95,2.16,2,2,2024-11-24
H00748,The Kandy House Hambantota,Hambantota,4.18,3.46,3.62,4.19,12,4,2024-03-20
H00749,Lighthouse Hotel Mannar,Mannar,4.75,5.25,5.36,5.05,15,9,2024-09-30
H00750,Lighthouse Hotel Ratnapura,Ratnapura,4.9,5.17,5.34,5.04,8,3,2024-07-22
H00751,Villa Rosa Hambantota,Hambantota,1.71,1.41,1.25,0.92,3,10,2024-03-11
H00752,Araliya Beach Kandy,Kandy,4.92,5.86,5.02,4.65,9,1,2024-10-22
H00753,The Kandy House Mannar,Mannar,4.43,4.73,3.7,4.3,0,6,2024-10-22
H00754,The Kandy House Polonnaruwa,Polonnaruwa,4.48,3.72,4.2,4.54,4,10,2024-03-26
H00755,Amangalla Nuwara_Eliya,Nuwara_Eliya,3.71,3.04,4.06,2.74,5,10,2024-06-17
H00756,Kings Pavilion Jaffna,Jaffna,4.23,3.64,4.68,4.21,9,2,2024-11-02
H00757,Villa Rosa Mannar,Mannar,1.62,1.2,1.13,1.82,2,2,2024-02-26
H00758,Lighthouse Hotel Kilinochchi,Kilinochchi,3.91,3.67,4.14,3.88,13,1,2024-04-28
H00759,Lighthouse Hotel Hambantota,Hambantota,2.62,2.13,1.98,2.53,11,0,2024-11-09
H00760,Cinnamon Grand Hambantota,Hambantota,1.53,1.24,1.97,1.86,0,7,2024-07-02
H00761,The Kandy House Mannar,Mannar,3.37,3.04,3.81,2.37,8,2,2024-02-04
H00762,Jetwing Blue Anuradhapura,Anuradhapura,3.76,3.35,4.56,4.2,1,1,2024-02-04
H00763,Villa Rosa Matara,Matara,1.78,1.94,1.4,1.81,11,1,2024-11-01
H00764,Kings Pavilion Polonnaruwa,Polonnaruwa,4.23,4.55,4.61,3.83,5,8,2024-03-31
H00765,98 Acres Resort Batticaloa,Batticaloa,2.77,2.86,2.41,2.07,8,7,2024-04-02
H00766,The Kandy House Ampara,Ampara,4.36,3.71,5.11,3.79,5,3,2024-08-25
H00767,98 Acres Resort Galle,Galle,3.03,3.31,2.53,2.28,7,0,2024-05-01
H00768,Amangalla Colombo,Colombo,4.45,3.83,4.94,4.33,1,5,2024-09-30
H00769,Lighthouse Hotel Puttalam,Puttalam,3.12,3.51,2.84,2.42,15,10,2024-04-30
H00770,Araliya Beach Kandy,Kandy,4.67,3.81,5.12,4.68,15,1,2024-12-09
H00771,The Kandy House Batticaloa,Batticaloa,1.91,2.44,2.57,1.15,1,0,2024-08-22
H00772,Cinnamon Grand Ampara,Ampara,4.09,3.23,4.85,3.66,9,10,2024-11-06
H00773,Lighthouse Hotel Monaragala,Monaragala,3.47,3.43,2.9,2.75,13,6,2024-04-02
H00774,98 Acres Resort Mirissa,Mirissa,2.21,2.42,1.46,1.1,10,6,2024-02-27
H00775,Tintagel Colombo Kegalle,Kegalle,3.81,3.53,3.59,3.53,8,2,2024-11-24
H00776,98 Acres Resort Monaragala,Monaragala,3.22,2.97,2.6,3.17,15,1,2024-02-17
H00777,Tintagel Colombo Ampara,Ampara,1.55,1.74,1.77,1.96,6,5,2024-05-26
H00778,Araliya Beach Ratnapura,Ratnapura,3.91,4.0,3.12,3.25,3,5,2024-01-03
H00779,Tintagel Colombo Ratnapura,Ratnapura,2.02,1.66,2.21,2.51,1,7,2024-11-14
H00780,Jetwing Blue Matale,Matale,3.39,3.09,3.82,2.48,11,2,2024-09-13
H00781,Kings Pavilion Monaragala,Monaragala,3.64,4.42,3.78,3.32,7,5,2024-09-28
H00782,Lighthouse Hotel Jaffna,Jaffna,3.12,3.15,3.69,2.51,0,6,2024-11-09
H00783,Lighthouse Hotel Gampaha,Gampaha,4.17,4.45,3.42,3.86,3,2,2024-07-29
H00784,Lighthouse Hotel Jaffna,Jaffna,1.61,1.68,1.12,1.19,10,0,2024-05-15
H00785,The Kandy House Colombo,Colombo,3.35,3.7,4.04,3.31,5,8,2024-07-27
H00786,Kings Pavilion Polonnaruwa,Polonnaruwa,2.22,2.47,1.51,1.28,0,1,2024-09-27
H00787,Araliya Beach Matara,Matara,2.72,1.81,2.18,2.86,7,0,2024-02-01
H00788,Jetwing Blue Jaffna,Jaffna,1.69,1.7,2.35,1.93,4,4,2024-10-30
H00789,The Kandy House Badulla,Badulla,4.94,5.8,4.72,5.23,9,1,2024-03-07
H00790,Araliya Beach Puttalam,Puttalam,3.0,2.55,3.6,1.89,13,8,2024-09-28
H00791,Cinnamon Grand Puttalam,Puttalam,2.19,2.65,2.87,1.11,7,10,2024-02-06
H00792,Jetwing Blue Trincomalee,Trincomalee,4.67,4.29,5.34,4.66,10,4,2024-04-01
H00793,Cinnamon Grand Mannar,Mannar,3.05,2.87,3.45,2.71,6,6,2024-03-08
H00794,The Kandy House Sigiriya,Sigiriya,4.94,5.06,5.11,4.27,10,7,2024-01-19
H00795,Lighthouse Hotel Kandy,Kandy,4.82,4.49,5.0,5.09,6,10,2024-04-10
H00796,Jetwing Blue Ratnapura,Ratnapura,3.1,3.42,2.37,2.32,8,9,2024-03-13
H00797,Jetwing Blue Anuradhapura,Anuradhapura,2.23,1.77,1.72,1.11,7,4,2024-06-20
H00798,Amangalla Kurunegala,Kurunegala,3.18,2.23,2.79,3.42,12,0,2024-03-29
H00799,Cinnamon Grand Kalutara,Kalutara,3.53,3.52,3.25,2.62,7,2,2024-09-24
H00800,Araliya Beach Matale,Matale,4.66,4.01,4.38,4.44,8,7,2024-11-14
H00801,The Kandy House Polonnaruwa,Polonnaruwa,4.51,3.78,3.89,4.1,7,10,2024-03-16
H00802,Araliya Beach Gampaha,Gampaha,1.81,0.85,2.35,0.83,5,0,2024-02-15
H00803,Cinnamon Grand Negombo,Negombo,1.91,1.38,2.11,2.26,13,3,2024-02-14
H00804,The Kandy House Hambantota,Hambantota,3.73,4.38,4.48,3.04,8,3,2024-05-10
H00805,Tintagel Colombo Hambantota,Hambantota,3.02,2.54,3.4,2.2,5,5,2024-02-07
H00806,Jetwing Blue Trincomalee,Trincomalee,4.28,4.62,4.61,4.57,2,8,2024-03-12
H00807,Amangalla Batticaloa,Batticaloa,2.97,3.86,2.42,3.08,10,7,2024-12-08
H00808,Villa Rosa Mannar,Mannar,3.14,2.65,2.56,3.07,12,2,2024-06-22
H00809,Lighthouse Hotel Sigiriya,Sigiriya,4.07,4.55,4.1,4.1,1,7,2024-05-30
H00810,Amangalla Kegalle,Kegalle,4.71,4.58,5.22,3.56,12,2,2024-06-01
H00811,Tintagel Colombo Ratnapura,Ratnapura,4.64,4.83,4.72,4.67,7,5,2024-05-12
H00812,Amangalla Kurunegala,Kurunegala,4.66,3.67,4.71,4.88,11,9,2024-12-29
H00813,Amangalla Jaffna,Jaffna,1.61,2.31,2.22,1.2,11,9,2024-10-25
H00814,Jetwing Blue Polonnaruwa,Polonnaruwa,3.51,3.23,4.1,3.52,1,0,2024-12-22
H00815,Araliya Beach Hambantota,Hambantota,4.53,3.58,4.43,3.92,6,7,2024-06-05
H00816,Villa Rosa Ampara,Ampara,1.86,2.8,1.3,1.52,1,9,2024-11-10
H00817,Lighthouse Hotel Negombo,Negombo,3.02,3.89,3.5,2.21,5,2,2024-08-04
H00818,Jetwing Blue Mannar,Mannar,2.79,2.62,3.51,1.66,13,5,2024-07-24
H00819,Jetwing Blue Mannar,Mannar,4.18,4.95,4.22,4.14,10,8,2024-11-20
H00820,Araliya Beach Monaragala,Monaragala,4.78,5.65,5.02,5.2,11,1,2024-06-18
H00821,Kings Pavilion Gampaha,Gampaha,3.35,3.34,3.84,2.17,0,7,2024-06-23
H00822,Kings Pavilion Colombo,Colombo,3.99,3.97,4.24,3.38,4,2,2024-04-30
H00823,Lighthouse Hotel Sigiriya,Sigiriya,3.61,3.14,3.05,3.51,11,10,2024-07-21
H00824,Villa Rosa Jaffna,Jaffna,1.98,2.27,1.92,1.13,4,9,2024-07-21
H00825,Villa Rosa Mirissa,Mirissa,1.71,1.83,0.95,1.77,13,4,2024-03-26
H00826,Cinnamon Grand Ella,Ella,3.63,4.09,4.13,3.83,6,6,2024-04-19
H00827,Amangalla Kalutara,Kalutara,4.7,4.84,5.37,5.07,10,9,2024-12-26
H00828,The Kandy House Mirissa,Mirissa,4.83,4.84,4.59,4.15,12,6,2024-09-25
H00829,Amangalla Puttalam,Puttalam,4.93,4.86,5.55,4.67,10,8,2024-11-25
H00830,Araliya Beach Polonnaruwa,Polonnaruwa,3.34,2.67,3.54,2.96,1,2,2024-08-31
H00831,Amangalla Colombo,Colombo,4.01,3.28,4.58,2.9,6,1,2024-12-20
H00832,Cinnamon Grand Kilinochchi,Kilinochchi,3.06,3.73,3.84,1.98,14,6,2024-12-15
H00833,Lighthouse Hotel Negombo,Negombo,2.77,2.83,3.14,2.33,11,6,2024-02-18
H00834,The Kandy House Mirissa,Mirissa,2.61,3.55,2.47,2.14,3,2,2024-03-07
H00835,Jetwing Blue Kegalle,Kegalle,4.58,3.67,4.47,4.82,11,2,2024-04-17
H00836,The Kandy House Ampara,Ampara,3.36,2.41,2.64,2.83,1,10,2024-02-22
H00837,Kings Pavilion Kalutara,Kalutara,2.12,2.97,1.78,1.37,11,3,2024-08-11
H00838,Villa Rosa Nuwara_Eliya,Nuwara_Eliya,2.41,1.43,2.31,1.78,9,7,2024-08-25
H00839,Villa Rosa Kilinochchi,Kilinochchi,3.05,3.74,3.11,2.8,0,3,2024-11-22
H00840,Tintagel Colombo Galle,Galle,1.68,2.33,1.79,0.91,10,3,2024-03-29
H00841,Cinnamon Grand Kilinochchi,Kilinochchi,4.11,3.15,3.79,3.44,11,2,2024-08-16
H00842,Jetwing Blue Mannar,Mannar,2.63,2.43,2.31,2.8,12,9,2024-09-13
H00843,Araliya Beach Kandy,Kandy,4.19,3.97,4.15,4.28,5,1,2024-10-14
H00844,Araliya Beach Kalutara,Kalutara,4.67,4.7,4.56,4.67,8,4,2024-08-07
H00845,Jetwing Blue Badulla,Badulla,2.83,2.09,2.89,3.18,15,2,2024-05-03
H00846,Cinnamon Grand Nuwara_Eliya,Nuwara_Eliya,3.31,3.78,2.81,2.35,7,7,2024-03-09
H00847,Jetwing Blue Kandy,Kandy,4.89,5.25,5.47,4.56,6,8,2024-08-16
H00848,Tintagel Colombo Mannar,Mannar,3.84,3.1,3.57,2.96,2,2,2024-01-16
H00849,Lighthouse Hotel Kalutara,Kalutara,4.21,3.59,3.94,3.36,0,4,2024-03-10
H00850,98 Acres Resort Matara,Matara,3.85,2.97,4.63,3.98,5,2,2024-12-30
H00851,Lighthouse Hotel Mirissa,Mirissa,2.12,1.39,2.81,1.69,13,8,2024-11-19
H00852,Jetwing Blue Kurunegala,Kurunegala,4.28,3.98,4.37,4.75,0,9,2024-07-25
H00853,Jetwing Blue Negombo,Negombo,3.83,2.94,4.23,3.34,12,7,2024-10-07
H00854,Jetwing Blue Colombo,Colombo,1.8,2.19,2.39,1.35,7,0,2024-06-29
H00855,Amangalla Colombo,Colombo,3.67,3.11,4.28,4.05,6,2,2024-12-19
H00856,Villa Rosa Kandy,Kandy,1.61,1.61,0.86,1.04,11,9,2024-06-30
H00857,Cinnamon Grand Monaragala,Monaragala,4.73,4.11,4.09,5.22,8,10,2024-12-09
H00858,Araliya Beach Colombo,Colombo,3.99,3.4,3.97,4.47,13,2,2024-07-23
H00859,Araliya Beach Gampaha,Gampaha,1.62,0.75,1.3,2.01,10,3,2024-09-01
H00860,Cinnamon Grand Mannar,Mannar,3.93,4.16,3.59,3.64,7,5,2024-03-01
H00861,Jetwing Blue Gampaha,Gampaha,4.44,3.54,5.07,4.23,15,3,2024-01-14
H00862,Lighthouse Hotel Ratnapura,Ratnapura,4.12,3.51,4.77,4.19,5,0,2024-07-10
H00863,Cinnamon Grand Monaragala,Monaragala,3.32,2.45,3.91,2.75,0,0,2024-01-29
H00864,Araliya Beach Batticaloa,Batticaloa,4.67,4.68,4.42,5.03,5,6,2024-08-30
H00865,Cinnamon Grand Kandy,Kandy,4.77,4.16,5.1,4.55,13,7,2024-05-17
H00866,Cinnamon Grand Gampaha,Gampaha,2.58,3.32,2.73,2.94,10,2,2024-11-27
H00867,Lighthouse Hotel Mirissa,Mirissa,3.57,3.84,3.56,3.94,7,2,2024-05-03
H00868,Jetwing Blue Kalutara,Kalutara,4.09,4.77,4.18,3.5,13,0,2024-07-23
H00869,The Kandy House Sigiriya,Sigiriya,4.58,5.56,3.88,4.62,8,2,2024-01-14
H00870,Villa Rosa Colombo,Colombo,3.2,3.99,2.63,2.77,2,7,2024-11-27
H00871,Amangalla Galle,Galle,3.39,3.84,2.64,3.77,0,1,2024-01-26
H00872,The Kandy House Nuwara_Eliya,Nuwara_Eliya,2.9,3.41,2.24,2.85,2,0,2024-10-22
H00873,Amangalla Kalutara,Kalutara,1.69,1.5,2.06,0.96,5,8,2024-10-12
H00874,Araliya Beach Vavuniya,Vavuniya,3.06,2.23,3.34,3.52,11,9,2024-08-25
H00875,Araliya Beach Kalutara,Kalutara,3.49,4.17,2.88,2.65,15,4,2024-02-25
H00876,Kings Pavilion Hambantota,Hambantota,3.31,2.93,3.09,2.97,0,7,2024-08-25
H00877,Lighthouse Hotel Kandy,Kandy,2.41,3.19,2.49,1.38,3,0,2024-10-02
H00878,Lighthouse Hotel Kalutara,Kalutara,4.42,4.07,4.13,4.29,0,0,2024-01-26
H00879,Lighthouse Hotel Matale,Matale,3.97,3.83,4.12,4.15,15,10,2024-12-01
H00880,Cinnamon Grand Trincomalee,Trincomalee,4.11,3.94,4.12,3.24,8,1,2024-07-10
H00881,Araliya Beach Matara,Matara,4.23,3.39,3.52,3.5,2,6,2024-05-26
H00882,Cinnamon Grand Colombo,Colombo,3.63,3.62,2.86,3.22,8,8,2024-02-29
H00883,Amangalla Trincomalee,Trincomalee,3.78,4.11,3.66,3.09,12,9,2024-10-13
H00884,98 Acres Resort Trincomalee,Trincomalee,4.68,4.67,5.47,5.0,7,9,2024-07-24
H00885,Villa Rosa Jaffna,Jaffna,3.12,3.22,3.25,3.47,9,1,2024-03-14
H00886,Araliya Beach Anuradhapura,Anuradhapura,2.59,1.82,2.09,2.7,6,9,2024-05-23
H00887,Cinnamon Grand Kurunegala,Kurunegala,4.72,4.78,4.17,3.66,10,2,2024-08-14
H00888,Araliya Beach Vavuniya,Vavuniya,4.73,4.38,4.82,5.06,7,3,2024-08-30
H00889,98 Acres Resort Nuwara_Eliya,Nuwara_Eliya,4.92,4.29,5.72,4.26,3,9,2024-08-01
H00890,Amangalla Kegalle,Kegalle,1.96,1.71,2.16,1.74,14,5,2024-01-18
H00891,Amangalla Ampara,Ampara,3.85,3.7,3.68,3.31,0,6,2024-11-06
H00892,Tintagel Colombo Kurunegala,Kurunegala,2.91,3.87,3.69,2.69,0,3,2024-10-06
H00893,Cinnamon Grand Kalutara,Kalutara,1.67,2.34,1.19,1.21,3,6,2024-01-17
H00894,Araliya Beach Kegalle,Kegalle,4.56,4.41,4.66,4.47,8,10,2024-06-13
H00895,The Kandy House Matale,Matale,4.76,4.03,4.2,4.98,3,7,2024-10-25
H00896,Cinnamon Grand Ampara,Ampara,2.07,1.94,2.84,1.22,6,0,2024-12-28
H00897,Amangalla Kurunegala,Kurunegala,3.44,2.93,3.98,2.66,2,7,2024-07-30
H00898,Cinnamon Grand Mirissa,Mirissa,2.19,2.23,2.66,2.58,7,7,2024-11-11
H00899,Lighthouse Hotel Ratnapura,Ratnapura,2.78,1.85,2.63,2.55,8,8,2024-08-23
H00900,Araliya Beach Vavuniya,Vavuniya,4.9,4.96,5.23,5.24,10,4,2024-06-04
H00901,Tintagel Colombo Monaragala,Monaragala,3.22,3.63,3.89,2.81,9,8,2024-11-09
H00902,Amangalla Gampaha,Gampaha,4.79,5.08,4.58,4.76,15,10,2024-07-10
H00903,Tintagel Colombo Monaragala,Monaragala,1.9,1.74,1.69,1.33,10,6,2024-01-04
H00904,Jetwing Blue Trincomalee,Trincomalee,4.54,3.57,5.22,4.52,13,6,2024-11-21
H00905,98 Acres Resort Kurunegala,Kurunegala,2.14,1.72,1.81,2.05,3,2,2024-02-26
H00906,Jetwing Blue Gampaha,Gampaha,3.53,3.83,4.03,2.64,14,5,2024-12-21
H00907,Villa Rosa Matara,Matara,2.65,2.92,2.79,1.55,8,8,2024-07-11
H00908,Cinnamon Grand Mannar,Mannar,3.68,3.78,3.14,3.97,4,5,2024-11-18
H00909,98 Acres Resort Badulla,Badulla,3.23,3.27,3.82,2.29,7,1,2024-08-24
H00910,Amangalla Vavuniya,Vavuniya,3.58,4.45,3.7,2.77,1,1,2024-11-15
H00911,Araliya Beach Badulla,Badulla,4.76,4.52,5.35,4.56,0,0,2024-04-18
H00912,Villa Rosa Jaffna,Jaffna,3.23,3.79,3.32,3.35,1,9,2024-02-12
H00913,Villa Rosa Kilinochchi,Kilinochchi,3.98,3.33,4.38,3.2,2,8,2024-05-17
H00914,Tintagel Colombo Negombo,Negombo,2.51,3.4,1.92,2.18,14,1,2024-06-04
H00915,Araliya Beach Badulla,Badulla,4.93,5.76,4.91,4.92,3,10,2024-03-13
H00916,Jetwing Blue Trincomalee,Trincomalee,2.0,2.21,1.38,2.15,9,5,2024-04-18
H00917,The Kandy House Matara,Matara,3.95,4.08,3.8,4.36,2,9,2024-01-12
H00918,The Kandy House Matale,Matale,4.14,4.81,3.47,4.42,2,3,2024-09-14
H00919,Tintagel Colombo Gampaha,Gampaha,3.47,3.72,3.41,2.83,10,5,2024-11-14
H00920,Kings Pavilion Puttalam,Puttalam,4.36,3.86,3.56,3.91,11,2,2024-12-28
H00921,Cinnamon Grand Polonnaruwa,Polonnaruwa,2.99,3.45,3.02,2.51,14,7,2024-08-18
H00922,Villa Rosa Kegalle,Kegalle,1.81,1.21,2.45,1.33,7,1,2024-08-15
H00923,Jetwing Blue Kegalle,Kegalle,4.49,3.96,4.48,3.84,7,3,2024-12-30
H00924,Amangalla Ella,Ella,3.85,4.68,3.28,4.23,15,5,2024-05-27
H00925,The Kandy House Vavuniya,Vavuniya,4.39,4.64,4.45,3.7,15,5,2024-11-12
H00926,The Kandy House Mirissa,Mirissa,3.37,2.38,3.44,2.21,13,4,2024-09-08
H00927,Araliya Beach Colombo,Colombo,1.95,1.44,2.68,1.74,5,5,2024-02-20
H00928,98 Acres Resort Mirissa,Mirissa,1.84,2.83,2.59,1.36,5,3,2024-09-05
H00929,Araliya Beach Kegalle,Kegalle,2.5,2.79,1.83,2.49,8,6,2024-11-14
H00930,The Kandy House Kurunegala,Kurunegala,1.67,2.29,1.89,2.01,12,6,2024-01-21
H00931,Araliya Beach Jaffna,Jaffna,2.88,2.58,3.23,3.05,4,6,2024-04-26
H00932,Lighthouse Hotel Puttalam,Puttalam,3.34,3.74,4.03,3.04,3,0,2024-07-08
H00933,Kings Pavilion Kegalle,Kegalle,2.01,1.8,1.54,2.1,5,9,2024-12-03
H00934,98 Acres Resort Negombo,Negombo,3.21,4.05,2.88,2.68,12,9,2024-08-09
H00935,Kings Pavilion Sigiriya,Sigiriya,2.26,2.61,2.53,2.28,1,5,2024-11-13
H00936,Araliya Beach Nuwara_Eliya,Nuwara_Eliya,4.19,3.96,4.54,4.21,6,2,2024-12-29
H00937,Araliya Beach Kandy,Kandy,3.56,4.11,3.95,2.69,15,4,2024-01-27
H00938,Araliya Beach Polonnaruwa,Polonnaruwa,3.16,3.37,2.66,2.19,0,5,2024-01-13
H00939,Jetwing Blue Colombo,Colombo,1.81,1.98,1.76,1.02,4,3,2024-01-29
H00940,Lighthouse Hotel Kalutara,Kalutara,4.31,4.37,4.4,3.52,15,8,2024-04-11
H00941,Lighthouse Hotel Hambantota,Hambantota,4.38,4.19,4.98,3.83,8,1,2024-11-08
H00942,Kings Pavilion Gampaha,Gampaha,2.53,3.07,2.11,2.96,0,4,2024-12-12
H00943,Jetwing Blue Sigiriya,Sigiriya,1.7,2.65,2.27,0.67,5,5,2024-11-18
H00944,Kings Pavilion Batticaloa,Batticaloa,4.23,4.72,4.65,4.48,5,2,2024-08-14
H00945,Kings Pavilion Nuwara_Eliya,Nuwara_Eliya,3.17,2.93,2.88,2.66,15,5,2024-07-29
H00946,Lighthouse Hotel Ratnapura,Ratnapura,4.08,4.85,3.66,3.04,1,2,2024-05-17
H00947,Lighthouse Hotel Nuwara_Eliya,Nuwara_Eliya,1.73,2.56,1.29,0.58,9,2,2024-09-06
H00948,Lighthouse Hotel Vavuniya,Vavuniya,3.47,3.77,3.35,3.66,11,4,2024-06-18
H00949,The Kandy House Puttalam,Puttalam,2.38,1.87,2.3,1.45,12,7,2024-09-13
H00950,Lighthouse Hotel Ella,Ella,3.37,2.68,2.58,2.85,8,3,2024-09-14
H00951,Amangalla Batticaloa,Batticaloa,1.7,1.62,1.88,1.09,7,3,2024-10-30
H00952,Jetwing Blue Trincomalee,Trincomalee,1.91,1.53,1.61,1.25,2,10,2024-05-29
H00953,Tintagel Colombo Ella,Ella,4.62,5.38,4.79,4.21,12,9,2024-11-16
H00954,Lighthouse Hotel Trincomalee,Trincomalee,3.64,2.9,4.19,2.79,7,9,2024-07-20
H00955,Lighthouse Hotel Mirissa,Mirissa,1.73,1.06,1.73,0.85,1,1,2024-02-15
H00956,Jetwing Blue Colombo,Colombo,3.55,3.3,3.49,2.72,8,4,2024-04-10
H00957,Kings Pavilion Monaragala,Monaragala,4.13,3.35,4.28,3.14,8,9,2024-03-11
H00958,Araliya Beach Ella,Ella,4.7,5.48,3.9,4.94,12,7,2024-02-28
H00959,The Kandy House Polonnaruwa,Polonnaruwa,4.87,4.42,4.35,4.25,5,0,2024-01-19
H00960,Jetwing Blue Monaragala,Monaragala,4.95,5.01,5.51,5.02,5,9,2024-09-01
H00961,Tintagel Colombo Batticaloa,Batticaloa,4.3,3.69,3.92,4.58,8,8,2024-04-22
H00962,Araliya Beach Colombo,Colombo,2.5,2.46,2.01,2.45,3,2,2024-03-09
H00963,Araliya Beach Gampaha,Gampaha,1.65,0.75,1.77,1.86,3,7,2024-05-10
H00964,Lighthouse Hotel Nuwara_Eliya,Nuwara_Eliya,4.5,4.32,4.37,3.78,14,5,2024-08-06
